INFO:     Will watch for changes in these directories: ['/home/niko/Proyectos/C_sol/Vyntra/backend']
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO:     Started reloader process [7084] using WatchFiles
INFO:     Started server process [7144]
INFO:     Waiting for application startup.
[2026-06-08 11:27:10,309] INFO siee.core | siee core booting (Supabase)
[2026-06-08 11:27:10,749] DEBUG hpack.hpack | Adding (b'x-supabase-client-runtime', b'python') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,750] DEBUG hpack.hpack | Encoding 18 with 7 bits
[2026-06-08 11:27:10,750] DEBUG hpack.hpack | Encoding 5 with 7 bits
[2026-06-08 11:27:10,750] DEBUG hpack.hpack | Adding (b'x-supabase-client-runtime-version', b'3.14.5') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,751] DEBUG hpack.hpack | Encoding 23 with 7 bits
[2026-06-08 11:27:10,751] DEBUG hpack.hpack | Encoding 5 with 7 bits
[2026-06-08 11:27:10,751] DEBUG hpack.hpack | Adding (b'apikey', b'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6ImZwb21iYXppeW9tYmN6eWZkcnl0Iiwicm9sZSI6InNlcnZpY2Vfcm9sZSIsImlhdCI6MTc4MDA4MjM2MCwiZXhwIjoyMDk1NjU4MzYwfQ.hOA2efvOMFjcoFwfFNEoNNjIRSj-SUnsnyEGOm5wNfs') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,752] DEBUG hpack.hpack | Encoding 5 with 7 bits
[2026-06-08 11:27:10,752] DEBUG hpack.hpack | Encoding 176 with 7 bits
[2026-06-08 11:27:10,753] DEBUG hpack.hpack | Adding (b'authorization', b'Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6ImZwb21iYXppeW9tYmN6eWZkcnl0Iiwicm9sZSI6InNlcnZpY2Vfcm9sZSIsImlhdCI6MTc4MDA4MjM2MCwiZXhwIjoyMDk1NjU4MzYwfQ.hOA2efvOMFjcoFwfFNEoNNjIRSj-SUnsnyEGOm5wNfs') to the header table, sensitive:True, huffman:True
[2026-06-08 11:27:10,753] DEBUG hpack.hpack | Encoding 23 with 4 bits
[2026-06-08 11:27:10,754] DEBUG hpack.hpack | Encoding 181 with 7 bits
[2026-06-08 11:27:10,754] DEBUG hpack.hpack | Adding (b'accept-profile', b'public') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,755] DEBUG hpack.hpack | Encoding 10 with 7 bits
[2026-06-08 11:27:10,756] DEBUG hpack.hpack | Encoding 5 with 7 bits
[2026-06-08 11:27:10,756] DEBUG hpack.hpack | Adding (b'content-profile', b'public') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,756] DEBUG hpack.hpack | Encoding 11 with 7 bits
[2026-06-08 11:27:10,757] DEBUG hpack.hpack | Encoding 5 with 7 bits
[2026-06-08 11:27:10,757] DEBUG hpack.hpack | Encoded header block to b"\x82A\x97\x96\xb3\xd3\x18\xfd\x9b\xd1\xe9\x8c\x9e\xfdK%\x9e\x92\xba-\xacq\x8d\x05\\\x87\x87D\x99b\xc2\xa1,w\x0b\x15\xd8yMAQ\xfe \xb4\x14\x89\x80\xd2|PjL\x98\x03S\x83\xf9c\xe7P\x8f\x9b\xd9\xab\xfaRB\xcb@\xd2_\xa5=\xa12\x7fz\x8e\xaf\xd2g=KN\x94\xd7\xe5\x80.'\x97\x0f@\x8a\xf2\xb1(1jJ\xc6\xaaS\xff\x8dE\xb5\x8e1\xa0\xabW\xe9\x81.\xc8\x17\x0f@\x93\xf2\xb2-\xacq\x8d\x05X\x94\x18\xb5%j\xe8\x1ae=\x94\xff\x84\xcej\xad\xf3@\x98\xf2\xb2-\xacq\x8d\x05X\x94\x18\xb5%j\xe8\x1ae=\x94\xad\xdc\xb6 \xc7\xab\x8fup.\x10\xac\x15\x882O\xe8\xe8Z3\xd8_@\x92\xf2\xb2-\xacq\x8d\x05X\x94\x18\xb5%k-\xa9&\xa4\xbf\x85\xaf\xd2g=_@\x97\xf2\xb2-\xacq\x8d\x05X\x94\x18\xb5%k-\xa9&\xa4\xabw-\x881\xea\x85ep\xb4\xbb\x7f@\x85\x1df\xea__\xff1/\xac\xb3\xc7\x88\x86\xd4l\xb98{\xc8\x1d&\xc8\x8c\x95ml\x97\xb29\x93\xad\x7f\x9coe}r\xfa\xcbY\x19\xd0mF\xcb\xeeO\xcb\xb3\xf3\xa7\x0f\xbf\xdd\xd9\x11\x92\xac\xb4~\x9b#\x99)\xfd\xf1\x18\x82n\x7f\x95\xd6^O\xa7\x9d:\\//\xde\xa4\xaa\x80d7\x83\x12\x97\xd1\xfb\xbb#\x99*\xd3A*\xfd\xaf\x98\xb8\xcaJ_G\xee\xec\x88\xc9M\x13\xc9{#\x9a7\x91\xad\x17\xe1kGM\x02\xd1{\xc1\xbf\x7f'\xf1\x93\xa1\xfdh\xbf\xd4:zpkG\xbe~%\xd8\xbc\xfa\xa1\x11e\xef\xabF\x1e\x84>\x1f\x12\xe1\xd3\x80\xfat\xf4\xc9\xb7wE\xb7p\xa9\x15z\xc1\x8bU-\xf8\xd3*?\x1f\x08\xff6\xbaQ\xd8[\x14/\xac\xb3\xc7\x88\x86\xd4l\xb98{\xc8\x1d&\xc8\x8c\x95ml\x97\xb29\x93\xad\x7f\x9coe}r\xfa\xcbY\x19\xd0mF\xcb\xeeO\xcb\xb3\xf3\xa7\x0f\xbf\xdd\xd9\x11\x92\xac\xb4~\x9b#\x99)\xfd\xf1\x18\x82n\x7f\x95\xd6^O\xa7\x9d:\\//\xde\xa4\xaa\x80d7\x83\x12\x97\xd1\xfb\xbb#\x99*\xd3A*\xfd\xaf\x98\xb8\xcaJ_G\xee\xec\x88\xc9M\x13\xc9{#\x9a7\x91\xad\x17\xe1kGM\x02\xd1{\xc1\xbf\x7f'\xf1\x93\xa1\xfdh\xbf\xd4:zpkG\xbe~%\xd8\xbc\xfa\xa1\x11e\xef\xabF\x1e\x84>\x1f\x12\xe1\xd3\x80\xfat\xf4\xc9\xb7wE\xb7p\xa9\x15z\xc1\x8bU-\xf8\xd3*?@\x8a\x19\x08Z\xd2\xb5v\x1eSP_\x85\xae\xd8\xe81?@\x8b!\xeaIjJ\xd5\xd8yMA\x7f\x85\xae\xd8\xe81?"
[2026-06-08 11:27:10,762] DEBUG httpcore.http2 | send_request_headers.complete
[2026-06-08 11:27:10,762] DEBUG httpcore.http2 | send_request_body.started request=<Request [b'GET']> stream_id=1
[2026-06-08 11:27:10,763] DEBUG httpcore.http2 | send_request_body.complete
[2026-06-08 11:27:10,763] DEBUG httpcore.http2 | receive_response_headers.started request=<Request [b'GET']> stream_id=1
[2026-06-08 11:27:10,817] DEBUG httpcore.http2 | receive_remote_settings.started
[2026-06-08 11:27:10,819] DEBUG httpcore.http2 | receive_remote_settings.complete return_value=<RemoteSettingsChanged changed_settings:{ChangedSetting(setting=3, original_value=None, new_value=100), ChangedSetting(setting=4, original_value=65535, new_value=65536), ChangedSetting(setting=5, original_value=16384, new_value=16777215)}>
[2026-06-08 11:27:11,099] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:11,451] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:11,804] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:11,984] DEBUG hpack.hpack | Decoding b'?\xe1\x1f\x88a\x96\xd0z\xbe\x94\x03\xcae\xb6\xa5\x04\x018\xa0\\\xb8\'n\x04*b\xd1\xbf_\x96\x1du\xd0b\r&=LtA\xea\xfbP\x93\x8e\xc4\x150Z\x99V{\\\x0247^\x84\x02\xc0c\xe7@\x85$\xabX?_\x8f\x18\x1e}\xa6Y\x03\x8fF0\x96FV\xbb\xab\x17@\x8a$\xab\x10d\x9c\xab!#M\xa8\x86\xbf\xcfL:2^]\x94b\xbb\x0f)\xa8*?\xca\rI\x93\x00~\x10Z\nD\xc0i?v\x87%\x07\xb6Ih\x1d\x85x\xa0\xa4~V\x1c\xc5\x81\x90\xb6\xcb\x80\x00>\xd45D\xa2\xd9\x0b\xba\xd8\xef\x9e\x91\x9a\xa4}\xa9]\x85\xa0\xe3\x93@\x90\xf2\xb1\x0fRKRVO\xaa\xca\xb1\xebI\x8fR?\x85\xa8\xe8\xa8\xd2\xcb@\x8b!\xeaIjJ\xd5\xd8yMA\x7f\x85\xae\xd8\xe81?@\x8dDkL4\x97\xc0\xfd-\xdc\xb6 \xc7\xab\x011@\x8aDkWa\xfa\x14\x89Z\xc2\xcb\x8f\x96\xb3\xd3\x18\xfd\x9b\xd1\xe9\x8c\x9e\xfdK%\x9e\x93@\x8aDkX^\xd6\x95\tX\xd2\x7f\x9a\x00_(\xde\x04\xab26\x9dY\xd6\x805\x9f\x92VVe\xc1\r\xa1\xbe\'H\xf8\x7f@\x8f\xf2\xb1j\xee\x7fK\r)-5\xa5b\x1e\xda\x93\x011@\x95\xf2\xb1j\xee\x7fK[Z\x13aGJ\xc8-\x9d\xccB\xac\x93R_\x03288w\xffl\x8a"K\x14t\xc0\xf9\xb65*\xe6~\xd0zy\xa8\xa5\xdf>\x96\xce\xf7\x8e3j\x84\x90\xdb\x90\xde-\xc0\x01\'\x0e{\xb4\xae\xd2\xc1u\xe0>\xcb\x80d\x0b\xba\xf3\xad\xb2\xf8\x96\n\xe0\\+\x85b/\xbb6i\xbap\x04mm\xc3g\x8e\xfe\xf0\xe7\x0e4\xc2\x13`w\x94x<\xf8\x9fNH\x9d\x87?\x06OOL;\xfcw\xbf\xef\x0b\xf9\x13\x8b\xa3\x9b/$\x9b\x8c\x84\xeck#2d\xdfQ!_g\x9c\xcd\xb3\x8f\xb6\xeb\xb9.\xde\xe1Ym\xc9\xeb\xd5\xd8\x88Z\xa2\x96\xd7\xad\xd3\x1b\xd9Y\xd9\xefGZ\xad\xf2m%\xa7+w\xe4\xe7M\xbfjcJk\xd5U\x1e\xbe\xd4\xdc:K\xb8\xc9,\x1aOQ~\xd4\xdcR[a~\xd4\xd64\xcf\x03\x1fj_=#5P"\xda\xc7\x18\xd0U\xc8\x7f\xb50y\xac\xd6\x15\x10h=_J\x01\xe52\xdbR\x82\x00\x9cP.\\m\xdb\x81\n\x98\xb4o@\x85\x1d\tY\x1d\xc9\x90\x9d\x98?\x9b\x8d4\xcf\xf3\xf6\xa5#\x81\xe7\x1a\x00?'
[2026-06-08 11:27:11,985] DEBUG hpack.hpack | Decoded 4096, consumed 3 bytes
[2026-06-08 11:27:11,986] DEBUG hpack.table | Resizing header table to 4096 from 4096
[2026-06-08 11:27:11,987] DEBUG hpack.hpack | Decoded 8, consumed 1 bytes
[2026-06-08 11:27:11,987] DEBUG hpack.hpack | Decoded (b':status', b'200'), consumed 1
[2026-06-08 11:27:11,988] DEBUG hpack.hpack | Decoded 33, consumed 1 bytes
[2026-06-08 11:27:11,988] DEBUG hpack.hpack | Decoded 22, consumed 1 bytes
[2026-06-08 11:27:11,989] DEBUG hpack.hpack | Decoded (b'date', b'Mon, 08 Jun 2026 16:27:11 GMT'), total consumed 24 bytes, indexed True
[2026-06-08 11:27:11,990] DEBUG hpack.hpack | Decoded 31, consumed 1 bytes
[2026-06-08 11:27:11,990] DEBUG hpack.hpack | Decoded 22, consumed 1 bytes
[2026-06-08 11:27:11,991] DEBUG hpack.hpack | Decoded (b'content-type', b'application/json; charset=utf-8'), total consumed 24 bytes, indexed True
[2026-06-08 11:27:11,991] DEBUG hpack.hpack | Decoded 28, consumed 1 bytes
[2026-06-08 11:27:11,992] DEBUG hpack.hpack | Decoded 2, consumed 1 bytes
[2026-06-08 11:27:11,992] DEBUG hpack.hpack | Decoded (b'content-length', <memory at 0x7f90060684c0>), total consumed 4 bytes, indexed True
[2026-06-08 11:27:11,993] DEBUG hpack.hpack | Decoded 30, consumed 1 bytes
[2026-06-08 11:27:11,993] DEBUG hpack.hpack | Decoded 4, consumed 1 bytes
[2026-06-08 11:27:11,994] DEBUG hpack.hpack | Decoded (b'content-range', b'0-0/*'), total consumed 6 bytes, indexed True
[2026-06-08 11:27:11,994] DEBUG hpack.hpack | Decoded 5, consumed 1 bytes
[2026-06-08 11:27:11,995] DEBUG hpack.hpack | Decoded 15, consumed 1 bytes
[2026-06-08 11:27:11,995] DEBUG hpack.hpack | Decoded (b'cf-ray', b'a089433068ba1ed3-BOG'), total consumed 23 bytes, indexed True
[2026-06-08 11:27:11,996] DEBUG hpack.hpack | Decoded 10, consumed 1 bytes
[2026-06-08 11:27:11,997] DEBUG hpack.hpack | Decoded 6, consumed 1 bytes
[2026-06-08 11:27:11,997] DEBUG hpack.hpack | Decoded (b'cf-cache-status', b'DYNAMIC'), total consumed 19 bytes, indexed True
[2026-06-08 11:27:11,998] DEBUG hpack.hpack | Decoded 29, consumed 1 bytes
[2026-06-08 11:27:11,998] DEBUG hpack.hpack | Decoded 20, consumed 1 bytes
[2026-06-08 11:27:11,999] DEBUG hpack.hpack | Decoded (b'content-location', b'/profiles?limit=1&select=id'), total consumed 22 bytes, indexed True
[2026-06-08 11:27:11,999] DEBUG hpack.hpack | Decoded 54, consumed 1 bytes
[2026-06-08 11:27:12,000] DEBUG hpack.hpack | Decoded 7, consumed 1 bytes
[2026-06-08 11:27:12,000] DEBUG hpack.hpack | Decoded (b'server', b'cloudflare'), total consumed 9 bytes, indexed True
[2026-06-08 11:27:12,001] DEBUG hpack.hpack | Decoded 56, consumed 1 bytes
[2026-06-08 11:27:12,001] DEBUG hpack.hpack | Decoded 32, consumed 1 bytes
[2026-06-08 11:27:12,002] DEBUG hpack.hpack | Decoded (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), total consumed 34 bytes, indexed True
[2026-06-08 11:27:12,002] DEBUG hpack.hpack | Decoded 16, consumed 1 bytes
[2026-06-08 11:27:12,003] DEBUG hpack.hpack | Decoded 5, consumed 1 bytes
[2026-06-08 11:27:12,004] DEBUG hpack.hpack | Decoded (b'x-content-type-options', b'nosniff'), total consumed 24 bytes, indexed True
[2026-06-08 11:27:12,004] DEBUG hpack.hpack | Decoded 11, consumed 1 bytes
[2026-06-08 11:27:12,005] DEBUG hpack.hpack | Decoded 5, consumed 1 bytes
[2026-06-08 11:27:12,005] DEBUG hpack.hpack | Decoded (b'content-profile', b'public'), total consumed 19 bytes, indexed True
[2026-06-08 11:27:12,006] DEBUG hpack.hpack | Decoded 13, consumed 1 bytes
[2026-06-08 11:27:12,006] DEBUG hpack.hpack | Decoded 1, consumed 1 bytes
[2026-06-08 11:27:12,007] DEBUG hpack.hpack | Decoded (b'sb-gateway-version', <memory at 0x7f9006068400>), total consumed 17 bytes, indexed True
[2026-06-08 11:27:12,007] DEBUG hpack.hpack | Decoded 10, consumed 1 bytes
[2026-06-08 11:27:12,008] DEBUG hpack.hpack | Decoded 15, consumed 1 bytes
[2026-06-08 11:27:12,008] DEBUG hpack.hpack | Decoded (b'sb-project-ref', b'fpombaziyombczyfdryt'), total consumed 28 bytes, indexed True
[2026-06-08 11:27:12,009] DEBUG hpack.hpack | Decoded 10, consumed 1 bytes
[2026-06-08 11:27:12,010] DEBUG hpack.hpack | Decoded 26, consumed 1 bytes
[2026-06-08 11:27:12,010] DEBUG hpack.hpack | Decoded (b'sb-request-id', b'019ea80f-3a47-740a-9df3-362a4a927c91'), total consumed 39 bytes, indexed True
[2026-06-08 11:27:12,011] DEBUG hpack.hpack | Decoded 15, consumed 1 bytes
[2026-06-08 11:27:12,011] DEBUG hpack.hpack | Decoded 1, consumed 1 bytes
[2026-06-08 11:27:12,012] DEBUG hpack.hpack | Decoded (b'x-envoy-attempt-count', <memory at 0x7f9006068580>), total consumed 19 bytes, indexed True
[2026-06-08 11:27:12,012] DEBUG hpack.hpack | Decoded 21, consumed 1 bytes
[2026-06-08 11:27:12,013] DEBUG hpack.hpack | Decoded 3, consumed 1 bytes
[2026-06-08 11:27:12,014] DEBUG hpack.hpack | Decoded (b'x-envoy-upstream-service-time', <memory at 0x7f9006068640>), total consumed 27 bytes, indexed True
[2026-06-08 11:27:12,014] DEBUG hpack.hpack | Decoded 55, consumed 1 bytes
[2026-06-08 11:27:12,014] DEBUG hpack.hpack | Decoded 235, consumed 2 bytes
[2026-06-08 11:27:12,016] DEBUG hpack.hpack | Decoded (b'set-cookie', b'__cf_bm=9iQ4f.i9u0y84_fThN5o8wVgOAcAuIiwuE02tFLBm.4-1780936030.7875392-1.0.1.1-c.SKKgjU0b4RFrwvzFL1HtA1iE7WbExwhNI_7ALU3omjFTwvDzF9ItGj6QCtcSistQ4I3dITncA.QxK53HqSBIBCUpeuIyyB_cen_fu8uNb8J3QzMknuxiNemJ5DdYmu; HttpOnly; SameSite=None; Secure; Path=/; Domain=supabase.co; Expires=Mon, 08 Jun 2026 16:57:11 GMT'), total consumed 238 bytes, indexed True
[2026-06-08 11:27:12,017] DEBUG hpack.hpack | Decoded 5, consumed 1 bytes
[2026-06-08 11:27:12,017] DEBUG hpack.hpack | Decoded 16, consumed 1 bytes
[2026-06-08 11:27:12,018] DEBUG hpack.hpack | Decoded (b'alt-svc', b'h3=":443"; ma=86400'), total consumed 24 bytes, indexed True
[2026-06-08 11:27:12,020] DEBUG httpcore.http2 | receive_response_headers.complete return_value=(200, [(b'date', b'Mon, 08 Jun 2026 16:27:11 GMT'), (b'content-type', b'application/json; charset=utf-8'), (b'content-length', b'47'), (b'content-range', b'0-0/*'), (b'cf-ray', b'a089433068ba1ed3-BOG'), (b'cf-cache-status', b'DYNAMIC'), (b'content-location', b'/profiles?limit=1&select=id'), (b'server', b'cloudflare'), (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), (b'x-content-type-options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'fpombaziyombczyfdryt'), (b'sb-request-id', b'019ea80f-3a47-740a-9df3-362a4a927c91'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'288'), (b'set-cookie', b'__cf_bm=9iQ4f.i9u0y84_fThN5o8wVgOAcAuIiwuE02tFLBm.4-1780936030.7875392-1.0.1.1-c.SKKgjU0b4RFrwvzFL1HtA1iE7WbExwhNI_7ALU3omjFTwvDzF9ItGj6QCtcSistQ4I3dITncA.QxK53HqSBIBCUpeuIyyB_cen_fu8uNb8J3QzMknuxiNemJ5DdYmu; HttpOnly; SameSite=None; Secure; Path=/; Domain=supabase.co; Expires=Mon, 08 Jun 2026 16:57:11 GMT'), (b'alt-svc', b'h3=":443"; ma=86400')])
[2026-06-08 11:27:12,028] INFO httpx | HTTP Request: GET https://fpombaziyombczyfdryt.supabase.co/rest/v1/profiles?select=id&limit=1 "HTTP/2 200 OK"
[2026-06-08 11:27:12,029] DEBUG httpcore.http2 | receive_response_body.started request=<Request [b'GET']> stream_id=1
[2026-06-08 11:27:12,032] DEBUG httpcore.http2 | receive_response_body.complete
[2026-06-08 11:27:12,033] DEBUG httpcore.http2 | response_closed.started stream_id=1
[2026-06-08 11:27:12,034] DEBUG httpcore.http2 | response_closed.complete
[2026-06-08 11:27:12,036] INFO siee.core | supabase connection verified
INFO:     Application startup complete.
[2026-06-08 11:27:12,156] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:12,508] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:12,860] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:13,212] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:13,564] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:13,916] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:14,267] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:14,619] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:14,974] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:15,337] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:15,689] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:16,042] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:16,394] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:16,747] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:17,099] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:17,451] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:17,803] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:18,155] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:18,507] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:18,860] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:19,212] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:19,564] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
